NPRI ID,Facility name,Company name,Address,City,Province,PostalCode,Latitude,Longitude,Emissions,Units,Facility details,Facility information,Report year
403,Lloydminster Refinery,Cenovus Energy Inc.,5650 52nd Street,Lloydminster,Alberta,T9V 0R7,53.2885,-110.0183,55.44,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03403&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/403,2022
405,Prince George Refinery,Tidewater Midstream and Infrastructure Ltd.,2542 Pulp Mill Road,Prince George,British Columbia,V2K 5P5,53.9268,-122.7028,80.91,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03405&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/405,2022
407,Ram River Sour Gas Plant,Tidewater Midstream and Infrastructure Ltd.,,Rocky Mountain House,Alberta,T4T 1B5,52.1463,-115.33,396.69,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03407&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/407,2022
409,Lloydminster Upgrader,Cenovus Energy Inc.,16 Highway East,Lloydminster,Saskatchewan,S9V 1M6,53.26311,-109.94889,986.69,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03409&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/409,2022
423,Agincourt Plant,The International Group Inc.,50 Salome Drive,Toronto,Ontario,M1S 2A8,43.7841,-79.2763,37.13,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03423&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/423,2022
426,Quirk Creek Gas Plant,Caledonian Midstream,,Millarville,Alberta,T0L 1K0,50.7477,-114.4947,234.04,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03426&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/426,2022
428,Norman Wells Central Processing Facility,Imperial Oil Resources N.W.T. Limited,General Delivery 1001 Canol Drive Drive,Norman Wells,Northwest Territories,X0E 0V0,65.2873,-126.8812,190.21,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03428&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/428,2022
432,Wapiti Deep Cut Plant 04-08-069-08 W6m,Canadian Natural Resources Limited,,N/A,Alberta,,54.9527,-119.1953,374.98,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03432&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/432,2022
438,Redwater Sour Gas Plant 01-29,Conifer Energy Inc.,,Redwater,Alberta,,53.9527,-113.078,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03438&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/438,2022
440,Judy Creek Gas Conservation Plant,Conifer Energy Inc.,,N/A,Alberta,,54.5723,-115.5229,111.54,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03440&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/440,2022
442,Cold Lake,Imperial Oil Resources Limited,,Grande Centre,Alberta,T0A 1T0,54.59702,-110.39972,5936.51,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03442&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/442,2022
444,Copper Cliff Smelter,Vale Canada Limited,18 Rink Street,Copper Cliff,Ontario,P0M 1N0,46.4786,-81.0553,174.4,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=03444&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/444,2022
